figure_id	Collection	Compartment	OMEROFigurelink	image	Flybase_ID	FlyBase link	Gene	If there is RNA expression, what patterns does the RNA make?_x	If there is protein expression, what patterns does the protein make?_x	Is RNA present in NBs?_x	Is protein present in NBs?_x	Is RNA present in other cells?_x	Is protein present in other cells?_x	General comments_x	If there is RNA expression, what patterns does the RNA make?_y	If there is protein expression, what patterns does the protein make?_y	Is RNA present in NBs?_y	Is protein present in NBs?_y	Is RNA present in other cells?_y	Is protein present in other cells?_y	General comments_y	neural RNAi phenotype	GO molecular function	GO biological process	L3 CNS	3prime UTR length	GO cellular component	FlyAtlas expression
2138694.0	CPTI002905	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138694	2138694.png	FBgn0063485	http://flybase.org/reports/FBgn0063485	Lasp	"Nuclear	Cell type specific"	"Diffuse	Large aggregations"	No	No	No	No		"Nuclear	Cell type specific"	"Diffuse	Large aggregations"	No	No	No	No			actin binding,protein binding,actin filament binding	spermatogenesis,sarcomere organization,muscle thin filament assembly,pole cell formation,regulation of myofibril size,sperm individualization,positive regulation of pole plasm oskar mRNA localization	35	612,1773	cytosol,focal adhesion,A band,sperm individualization complex,Z disc	S2 cells,Testis
2138708.0	CPTI000298	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138708	2138708.png	FBgn0027529	http://flybase.org/reports/FBgn0027529	tapas	Evenly distributed	"Nuclear	Cell edges"	No	No	No	No		Evenly distributed	"Nuclear	Cell edges"	No	No	No	No				piRNA biosynthetic process,piRNA metabolic process,negative regulation of transposition,P granule organization	25	160,198	P granule,perinuclear region of cytoplasm	Larval carcass,Male accessory glands,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Tubule,Salivary gland,Larval trachea,Crop,Hindgut,Adult eye,S2 cells,Larvae hindgut
2138873.0	CPTI000252	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138873	2138873.png				"Cell type specific	More in some cells than others"	Cytoplasmic	No	No	No	No		"Cell type specific	More in some cells than others"	Cytoplasmic	No	No	No	No								
2138906.0	CPTI001997	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138906	2138906.png	FBgn0024989	http://flybase.org/reports/FBgn0024989	CG3777	Cell type specific	"Cytoplasmic	Cell type specific	Other"	No	No	No	No		Cell type specific	"Cytoplasmic	Cell type specific	Other"	No	No	No	No					19	529,831		Larval trachea,Larval salivary gland,Larval carcass,Larvae hindgut
2138907.0	CPTI001194	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138907	2138907.png																								
	CPTI002768				FBgn0283657	http://flybase.org/reports/FBgn0283657	Tlk																protein binding,ATP binding,protein kinase activity,protein serine/threonine kinase activity	intracellular signal transduction,protein phosphorylation,regulation of cell cycle,chromatin organization,histone phosphorylation,peptidyl-serine phosphorylation,protein autophosphorylation,embryonic,chromosome segregation,mitotic cell cycle,regulation of chromatin assembly or disassembly		565,1543,232,3366,1573,2414	nucleus,heterochromatin,nucleoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Mated spermatheca,Adult fat body,Tubule,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI003640				FBgn0283657	http://flybase.org/reports/FBgn0283657	Tlk																protein binding,ATP binding,protein kinase activity,protein serine/threonine kinase activity	intracellular signal transduction,protein phosphorylation,regulation of cell cycle,chromatin organization,histone phosphorylation,peptidyl-serine phosphorylation,protein autophosphorylation,embryonic,chromosome segregation,mitotic cell cycle,regulation of chromatin assembly or disassembly		565,1543,232,3366,1573,2414	nucleus,heterochromatin,nucleoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Mated spermatheca,Adult fat body,Tubule,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
					FBgn0283652	http://flybase.org/reports/FBgn0283652	Rpp30															neuroblast underproliferation,ganglion mother cell shorter lineages,neuroblasts smaller	ribonuclease P activity,ribonuclease P RNA binding,RNA binding	RNA phosphodiester bond hydrolysis,endonucleolytic,tRNA processing,tRNA 5'-leader removal		31,155	multimeric ribonuclease P complex,ribonuclease MRP complex,nucleolar ribonuclease P complex	Larval CNS,Larval salivary gland,Male accessory glands,Virgin spermatheca,S2 cells,Mated spermatheca,Ovary,Larval trachea
					FBgn0283651	http://flybase.org/reports/FBgn0283651	CG46301																molecular_function	biological_process		1512,107,48	nucleoplasm	Virgin spermatheca,Adult carcass,Tubule,Larval tubule,Brain,Mated spermatheca,Larval CNS,Larval midgut,Midgut
					FBgn0283649	http://flybase.org/reports/FBgn0283649	elgi																myosin binding,ubiquitin-protein transferase activity,protein binding,zinc ion binding,ubiquitin protein ligase activity	imaginal disc-derived wing vein morphogenesis,positive regulation of hippo signaling,wing disc development,regulation of meiotic cell cycle,protein ubiquitination,protein polyubiquitination		463	cytoplasm	Ovary
					FBgn0283639	http://flybase.org/reports/FBgn0283639	mir-9369																					
					FBgn0283638	http://flybase.org/reports/FBgn0283638	mir-9388																					
					FBgn0283637	http://flybase.org/reports/FBgn0283637	mir-9370																					
					FBgn0283627	http://flybase.org/reports/FBgn0283627	CR46300																					Tubule
					FBgn0283626	http://flybase.org/reports/FBgn0283626	CR46299																					
					FBgn0283625	http://flybase.org/reports/FBgn0283625	CG46298																			415,484		
					FBgn0283562	http://flybase.org/reports/FBgn0283562	mir-9383																					
					FBgn0283561	http://flybase.org/reports/FBgn0283561	mir-9374																					
					FBgn0283560	http://flybase.org/reports/FBgn0283560	mir-9380																					
					FBgn0283559	http://flybase.org/reports/FBgn0283559	mir-9377																					
					FBgn0283558	http://flybase.org/reports/FBgn0283558	mir-9375																					
					FBgn0283557	http://flybase.org/reports/FBgn0283557	mir-9385																					
					FBgn0283555	http://flybase.org/reports/FBgn0283555	mir-9373																					
					FBgn0283554	http://flybase.org/reports/FBgn0283554	mir-9371																					
					FBgn0283553	http://flybase.org/reports/FBgn0283553	mir-9379																					
					FBgn0283551	http://flybase.org/reports/FBgn0283551	mir-9378																					
					FBgn0283550	http://flybase.org/reports/FBgn0283550	mir-9382																					
					FBgn0283549	http://flybase.org/reports/FBgn0283549	mir-9372																					
					FBgn0283548	http://flybase.org/reports/FBgn0283548	mir-9381																					
					FBgn0283547	http://flybase.org/reports/FBgn0283547	mir-9376																					
					FBgn0283546	http://flybase.org/reports/FBgn0283546	mir-9384																					
					FBgn0283545	http://flybase.org/reports/FBgn0283545	vilya																SUMO transferase activity	protein sumoylation,homologous chromosome pairing at meiosis,positive regulation of meiotic DNA double-strand break formation,female meiotic nuclear division,reciprocal meiotic recombination		84	synaptonemal complex,central element,recombination nodule,site of double-strand break,chromosome	S2 cells,Testis
					FBgn0283536	http://flybase.org/reports/FBgn0283536	Vha13																rotational mechanism,ATPase-coupled transmembrane transporter activity,proton-transporting ATPase activity	proton transmembrane transport,open tracheal system,terminal branching,liquid clearance		490,250	plasma membrane proton-transporting V-type ATPase complex,vacuolar proton-transporting V-type ATPase complex	Larval salivary gland,Larvae hindgut,Larval tubule,Tubule,Salivary gland,Larval trachea,Thoracicoabdominal ganglion,Hindgut,Larval midgut,Midgut
					FBgn0283535	http://flybase.org/reports/FBgn0283535	Vha26																rotational mechanism,proton-transporting ATPase activity	proton transmembrane transport,open tracheal system,terminal branching,liquid clearance,apical protein localization		1345,2002	vacuolar proton-transporting V-type ATPase,plasma membrane proton-transporting V-type ATPase complex,V1 domain,plasma membrane	Larval salivary gland,Larval carcass,Larval tubule,Brain,Salivary gland,Larval trachea,Tubule,Thoracicoabdominal ganglion,Hindgut,Midgut,Larval midgut,Larvae hindgut
					FBgn0283531	http://flybase.org/reports/FBgn0283531	Duox																NAD(P)H oxidase H2O2-forming activity,calcium ion binding,heme binding,peroxidase activity,superoxide-generating NAD(P)H oxidase activity	cuticle development,response to oxidative stress,response to wounding,imaginal disc-derived wing morphogenesis,cytokine-mediated signaling pathway,mucosal immune response,adult chitin-based cuticle development,response to cAMP,superoxide anion generation,reactive oxygen species metabolic process,wing disc development,hydrogen peroxide biosynthetic process,defense response to bacterium,defense response,negative regulation of apoptotic process,adult chitin-containing cuticle pigmentation		372	endomembrane system,NADPH oxidase complex,plasma membrane	Larval carcass,Ovary,Larval trachea
					FBgn0283525	http://flybase.org/reports/FBgn0283525	l(2)10685																methyltransferase activity	rRNA methylation,RNA methylation		73	mitochondrial large ribosomal subunit	Ovary
	CPTI000190				FBgn0283521	http://flybase.org/reports/FBgn0283521	lola															neuroblast underproliferation,ganglion mother cell shorter lineages,neuroblast overproliferation	protein binding,DNA-binding transcription factor activity,DNA binding	axonogenesis,larval somatic muscle development,positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,axon midline choice point recognition,regulation of gene expression,regulation of transcription,gonad development,regulation of axon guidance,axon guidance,positive regulation of transcription,regulation of transcription by RNA polymerase II,positive regulation of peptidoglycan recognition protein signaling pathway,nurse cell apoptotic process,dendrite morphogenesis,R3/R4 cell fate commitment,larval lymph gland hemopoiesis,R7 cell development,DNA-templated		527,594,774,924,350,1046,379,214,115,118,386,113,584,733,1104,12,438,307,44,585,884,682	nucleus,nucleoplasm,cytoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Testis,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI001872				FBgn0283521	http://flybase.org/reports/FBgn0283521	lola															neuroblast underproliferation,ganglion mother cell shorter lineages,neuroblast overproliferation	protein binding,DNA-binding transcription factor activity,DNA binding	axonogenesis,larval somatic muscle development,positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,axon midline choice point recognition,regulation of gene expression,regulation of transcription,gonad development,regulation of axon guidance,axon guidance,positive regulation of transcription,regulation of transcription by RNA polymerase II,positive regulation of peptidoglycan recognition protein signaling pathway,nurse cell apoptotic process,dendrite morphogenesis,R3/R4 cell fate commitment,larval lymph gland hemopoiesis,R7 cell development,DNA-templated		527,594,774,924,350,1046,379,214,115,118,386,113,584,733,1104,12,438,307,44,585,884,682	nucleus,nucleoplasm,cytoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Testis,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI002844				FBgn0278608	http://flybase.org/reports/FBgn0278608	Dsp1																bending,single-stranded DNA binding,protein binding,transcription factor binding,TBP-class protein binding,DNA binding	regulation of transcription by RNA polymerase II,negative regulation of transcription by RNA polymerase II,positive regulation of DNA binding,developmental process,DNA unwinding involved in DNA replication,negative regulation of transcription,DNA-templated,segment specification,leg disc development,chromatin remodeling,negative regulation of RNA polymerase II transcription preinitiation complex assembly,negative regulation of antimicrobial humoral response		2817,1077,2636,964	nucleus,polytene chromosome	Head,Larval carcass,Mated spermatheca,Brain,Ovary,Larval trachea,Crop,Thoracicoabdominal ganglion,Larval CNS,Adult eye,S2 cells,Larvae hindgut
	CPTI002758				FBgn0267824	http://flybase.org/reports/FBgn0267824	PRAS40																	negative regulation of vascular endothelial growth factor receptor signaling pathway,neurotrophin TRK receptor signaling pathway,negative regulation of insulin receptor signaling pathway,negative regulation of TORC1 signaling,negative regulation of TOR signaling,negative regulation of protein kinase activity		549	cytosol,cytoplasm	
	CPTI002129				FBgn0267791	http://flybase.org/reports/FBgn0267791	HnRNP-K																transcription factor binding,mRNA binding	via spliceosome,regulation of mRNA splicing,regulation of alternative mRNA splicing,regulation of gene expression,regulation of transcription by RNA polymerase II		414,59,380	ribonucleoprotein complex,omega speckle,chromatin,nucleus,cytoplasm	Head,Larval tubule,Brain,Tubule,Larval trachea,Thoracicoabdominal ganglion,Larval CNS,Adult eye,S2 cells
	CPTI004242				FBgn0267790	http://flybase.org/reports/FBgn0267790	rump																mRNA binding,mRNA 3'-UTR binding	intracellular mRNA localization,anterior/posterior pattern specification,embryo,regulation of mRNA stability involved in response to oxidative stress,pole cell development,anterior/posterior axis specification,pole plasm oskar mRNA localization,mitotic cell cycle,segmentation		1406,291	ribonucleoprotein complex,omega speckle,nucleoplasm,chromatin,nucleus,post-mRNA release spliceosomal complex,cytoplasm	Larval trachea,Larval CNS,Testis,S2 cells,Brain,Ovary
	CPTI003798				FBgn0266599	http://flybase.org/reports/FBgn0266599	Hsc70-4																ATP hydrolysis activity,chaperone binding,ATP binding,heat shock protein binding,unfolded protein binding,misfolded protein binding,protein folding chaperone	cellular response to topologically incorrect protein,chaperone-mediated protein folding,RNA interference,via spliceosome,nervous system development,chaperone cofactor-dependent protein refolding,vesicle-mediated transport,axonal fasciculation,protein refolding,mRNA splicing,late endosomal microautophagy,ovarian follicle cell development,cellular response to unfolded protein,membrane bending,axon guidance,neurotransmitter secretion	2063	299	cytosol,precatalytic spliceosome,plasma membrane,Z disc,nucleus,cytoplasm,catalytic step 2 spliceosome,mitochondrial inner membrane,perichromatin fibrils	Larval carcass,Male accessory glands,Virgin spermatheca,Larval tubule,Larval midgut,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI003576				FBgn0266557	http://flybase.org/reports/FBgn0266557	kis																ATP hydrolysis activity,ATP-dependent chromatin remodeler activity,ATP binding,histone binding,ATP-dependent activity,acting on DNA,chromatin binding,DNA binding	locomotion,positive regulation of organ growth,negative regulation of transcription,determination of adult lifespan,regulation of gene expression,blastoderm segmentation,chromatin remodeling,axon guidance,heart development,imaginal disc-derived wing morphogenesis,negative regulation of transcription by RNA polymerase II,neuron remodeling,positive regulation of border follicle cell migration,short-term memory,regulation of synaptic assembly at neuromuscular junction,segment specification,positive regulation of receptor localization to synapse,DNA-templated	90	1450	chromatin,nucleus,nucleoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Larval fat body,Head,Larval salivary gland,Mated spermatheca,Adult fat body,Tubule,Salivary gland,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI002847				FBgn0266557	http://flybase.org/reports/FBgn0266557	kis																ATP hydrolysis activity,ATP-dependent chromatin remodeler activity,ATP binding,histone binding,ATP-dependent activity,acting on DNA,chromatin binding,DNA binding	locomotion,positive regulation of organ growth,negative regulation of transcription,determination of adult lifespan,regulation of gene expression,blastoderm segmentation,chromatin remodeling,axon guidance,heart development,imaginal disc-derived wing morphogenesis,negative regulation of transcription by RNA polymerase II,neuron remodeling,positive regulation of border follicle cell migration,short-term memory,regulation of synaptic assembly at neuromuscular junction,segment specification,positive regulation of receptor localization to synapse,DNA-templated	90	1450	chromatin,nucleus,nucleoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Larval fat body,Head,Larval salivary gland,Mated spermatheca,Adult fat body,Tubule,Salivary gland,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI003615				FBgn0266557	http://flybase.org/reports/FBgn0266557	kis																ATP hydrolysis activity,ATP-dependent chromatin remodeler activity,ATP binding,histone binding,ATP-dependent activity,acting on DNA,chromatin binding,DNA binding	locomotion,positive regulation of organ growth,negative regulation of transcription,determination of adult lifespan,regulation of gene expression,blastoderm segmentation,chromatin remodeling,axon guidance,heart development,imaginal disc-derived wing morphogenesis,negative regulation of transcription by RNA polymerase II,neuron remodeling,positive regulation of border follicle cell migration,short-term memory,regulation of synaptic assembly at neuromuscular junction,segment specification,positive regulation of receptor localization to synapse,DNA-templated	90	1450	chromatin,nucleus,nucleoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Larval fat body,Head,Larval salivary gland,Mated spermatheca,Adult fat body,Tubule,Salivary gland,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI001881				FBgn0266452	http://flybase.org/reports/FBgn0266452	CTPsyn																identical protein binding,CTP synthase activity	CTP biosynthetic process,pyrimidine nucleobase biosynthetic process,larval lymph gland hemopoiesis,phospholipid metabolic process	23	306	cytosol,cytoophidium,cytoplasm	Larval CNS,Ovary
	CPTI000453				FBgn0266452	http://flybase.org/reports/FBgn0266452	CTPsyn																identical protein binding,CTP synthase activity	CTP biosynthetic process,pyrimidine nucleobase biosynthetic process,larval lymph gland hemopoiesis,phospholipid metabolic process	23	306	cytosol,cytoophidium,cytoplasm	Larval CNS,Ovary
	CPTI004347				FBgn0266019	http://flybase.org/reports/FBgn0266019	rudhira																molecular_function	macropinocytosis,response to starvation	29	463,1462,467,1201,2197	cytosol,cytoplasm	Larval carcass,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Larval midgut,Larval fat body,Head,Adult carcass,Adult fat body,Mated spermatheca,Tubule,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,Larvae hindgut
	CPTI001991				FBgn0265487	http://flybase.org/reports/FBgn0265487	mbl																nucleic acid binding,metal ion binding,RNA binding	via spliceosome,eye development,regulation of female receptivity,muscle cell cellular homeostasis,apoptotic process,regulation of gene expression,rhabdomere development,compound eye photoreceptor cell differentiation,regulation of alternative mRNA splicing,muscle organ development	23	1824,4606,1171,5609,1400	H zone,nucleoplasm,Z disc,nucleus,perinuclear region of cytoplasm,cytoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI003555				FBgn0265487	http://flybase.org/reports/FBgn0265487	mbl																nucleic acid binding,metal ion binding,RNA binding	via spliceosome,eye development,regulation of female receptivity,muscle cell cellular homeostasis,apoptotic process,regulation of gene expression,rhabdomere development,compound eye photoreceptor cell differentiation,regulation of alternative mRNA splicing,muscle organ development	23	1824,4606,1171,5609,1400	H zone,nucleoplasm,Z disc,nucleus,perinuclear region of cytoplasm,cytoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI001488				FBgn0265190	http://flybase.org/reports/FBgn0265190	PIG-S																	rhabdomere membrane biogenesis,GPI anchor biosynthetic process,attachment of GPI anchor to protein	29	52	GPI-anchor transamidase complex,nucleoplasm,endomembrane system,nuclear membrane,endoplasmic reticulum	Larval salivary gland,Male accessory glands,Brain,Ovary,Tubule,Larval trachea,Testis,Thoracicoabdominal ganglion,Larval CNS,S2 cells,Midgut
	CPTI000902				FBgn0265180	http://flybase.org/reports/FBgn0265180	CG44245																molecular_function	mesoderm development	58	356	cellular_component	Crop,Adult heart,Larval carcass,Hindgut,Male accessory glands,Adult carcass,Larvae hindgut
